Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,ElementType
MCI_UPDATE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_WHERE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_WINDOW,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
break,Yes,Yes,Yes,string/mm, -, -,,,No,command string
capability,Yes,Yes,Yes,string/mm, -, -,,,No,command string
capture,Yes,Yes,Yes,string/mm, -, -,,,No,command string
close,Yes,Yes,Yes,string/mm, -, -,,,No,command string
configure,Yes,Yes,Yes,string/mm, -, -,,,No,command string
copy,Yes,Yes,Yes,string/mm, -, -,,,No,command string
cue,Yes,Yes,Yes,string/mm, -, -,,,No,command string
cut,Yes,Yes,Yes,string/mm, -, -,,,No,command string
delete,Yes,Yes,Yes,string/mm, -, -,,,No,command string
escape,Yes,Yes,Yes,string/mm, -, -,,,No,command string
freeze,Yes,Yes,Yes,string/mm, -, -,,,No,command string
index,Yes,Yes,Yes,string/mm, -, -,,,No,command string
info,Yes,Yes,Yes,string/mm, -, -,,,No,command string
list,Yes,Yes,Yes,string/mm, -, -,,,No,command string
load,Yes,Yes,Yes,string/mm, -, -,,,No,command string
mark,Yes,Yes,Yes,string/mm, -, -,,,No,command string
monitor,Yes,Yes,Yes,string/mm, -, -,,,No,command string
open,Yes,Yes,Yes,string/mm, -, -,,,No,command string
paste,Yes,Yes,Yes,string/mm, -, -,,,No,command string
pause,Yes,Yes,Yes,string/mm, -, -,,,No,command string
play,Yes,Yes,Yes,string/mm, -, -,,,No,command string
put,Yes,Yes,Yes,string/mm, -, -,,,No,command string
quality,Yes,Yes,Yes,string/mm, -, -,,,No,command string
realize,Yes,Yes,Yes,string/mm, -, -,,,No,command string
record,Yes,Yes,Yes,string/mm, -, -,,,No,command string
reserve,Yes,Yes,Yes,string/mm, -, -,,,No,command string
restore,Yes,Yes,Yes,string/mm, -, -,,,No,command string
resume,Yes,Yes,Yes,string/mm, -, -,,,No,command string
save,Yes,Yes,Yes,string/mm, -, -,,,No,command string
seek,Yes,Yes,Yes,string/mm, -, -,,,No,command string
set,Yes,Yes,Yes,string/mm, -, -,,,No,command string
setaudio,Yes,Yes,Yes,string/mm, -, -,,,No,command string
settimecode,Yes,Yes,Yes,string/mm, -, -,,,No,command string
settuner,Yes,Yes,Yes,string/mm, -, -,,,No,command string
setvideo,Yes,Yes,Yes,string/mm, -, -,,,No,command string
signal,Yes,Yes,Yes,string/mm, -, -,,,No,command string
spin,Yes,Yes,Yes,string/mm, -, -,,,No,command string
status,Yes,Yes,Yes,string/mm, -, -,,,No,command string
step,Yes,Yes,Yes,string/mm, -, -,,,No,command string
stop,Yes,Yes,Yes,string/mm, -, -,,,No,command string
sysinfo,Yes,Yes,Yes,string/mm, -, -,,,No,command string
undo,Yes,Yes,Yes,string/mm, -, -,,,No,command string
unfreeze,Yes,Yes,Yes,string/mm, -, -,,,No,command string
update,Yes,Yes,Yes,string/mm, -, -,,,No,command string
where,Yes,Yes,Yes,string/mm, -, -,,,No,command string
window,Yes,Yes,Yes,string/mm, -, -,,,No,command string
BS_3STATE,Yes,Yes,Yes,style/button, -,winuser.h,,,No,constant
BS_AUTO3STATE,Yes,Yes,Yes,style/button, -,winuser.h,,,No,constant
BS_AUTOCHECKBOX,Yes,Yes,Yes,style/button, -,winuser.h,,,No,constant
BS_AUTORADIOBUTTON,Yes,Yes,Yes,style/button, -,winuser.h,,,No,constant
BS_BITMAP,Yes,Yes,No,style/button, -,winuser.h,,,No,constant
BS_BOTTOM,Yes,Yes,No,style/button, -,winuser.h,,,No,constant
BS_CENTER,Yes,Yes,No,style/button, -,winuser.h,,,No,constant
BS_CHECKBOX,Yes,Yes,Yes,style/button, -,winuser.h,,,No,constant
BS_DEFPUSHBUTTON,Yes,Yes,Yes,style/button, -,winuser.h,,,No,constant
BS_DIBPATTERN,Yes,Yes,Yes,style/brush, -,wingdi.h,"""Windows 95: Only supports 8x8 brushes""",,No,constant
BS_DIBPATTERN8X8,Yes,Yes,No,style/brush, -,wingdi.h,,,No,constant
BS_DIBPATTERNPT,Yes,Yes,No,style/brush, -,wingdi.h,,,No,constant
